Source,Interaction,Target ,,,
it,Attribute,is,,Age,
a,Attribute,is,,complement,340
strange,Attribute,is,,modifier,205
what,Attribute,is,,object,75
powder,Attribute,is,,subject,172
afraid,Attribute,are,,Attribute,21
quiet,Attribute,was,,,
the,Attribute,is,,,
what,Attribute,is,,,
tall,Attribute,is,,,
silly,Attribute,is,,,
kind,Attribute,be,,,
a,Attribute,is,,,
color,Attribute,is,,,
what,Attribute,is,,,
what,Attribute,was,,,
pink,Attribute,be,,,
where,Attribute,is,,,
sure,Attribute,'m,,,
Bell,Attribute,is,,,
Bob,Attribute,is,,,
a,Complement,and,,,
girl,Complement,a,,,
boy,Complement,and,,,
their,Complement,with,,,
grandpa,Complement,their,,,
a,Complement,and,,,
table,Complement,a,,,
a,Complement,and,,,
bowl,Complement,a,,,
mix,Complement,and,,,
grandpa,Complement,the,,,
is,Complement,and,,,
holding,Complement,is,,,
egg,Complement,the,,,
is,Complement,and,,,
coat,Complement,a,,,
the,Complement,on,,,
wall,Complement,the,,,
blank,Complement,a,,,
is,Complement,and,,,
girl,Complement,a,,,
some,Complement,on,,,
kind,Complement,some,,,
a,Complement,of,,,
swing,Complement,a,,,
a,Complement,with,,,
horse,Complement,a,,,
is,Complement,and,,,
over,Complement,all,,,
a,Complement,and,,,
bench,Complement,a,,,
man,Complement,a,,,
dad,Complement,a,,,
father,Complement,a,,,
pushing,Complement,and,,,
girl,Complement,a,,,
the,Complement,on,,,
swing,Complement,the,,,
care,Complement,do,,,
do,Complement,if,,,
know,Complement,do,,,
do,Complement,if,,,
stuff,Complement,this,,,
Mcdonalds,Complement,from,,,
be,Complement,could,,,
kind,Complement,some,,,
sandwich,Complement,of,,,
sandwich,Complement,a,,,
mean,Complement,do,,,
the,Complement,in,,,
car,Complement,the,,,
go,Complement,and,,,
there,Complement,in,,,
order,Complement,and,,,
what,Complement,having,,,
having,Complement,are,,,
go,Complement,and,,,
find,Complement,go,,,
seat,Complement,your,,,
eat,Complement,and,,,
leave,Complement,and,,,
see,Complement,can,,,
the,Complement,through,,,
page,Complement,the,,,
all,Complement,like,,,
kinds,Complement,all,,,
stuff,Complement,of,,,
use,Complement,for,,,
the,Complement,in,,,
tub,Complement,the,,,
see,Complement,could,,,
the,Complement,through,,,
bag,Complement,the,,,
teeth,Complement,your,,,
know,Complement,do,,,
kind,Complement,some,,,
cream,Complement,of,,,
toothbrush,Complement,a,,,
soap,Complement,some,,,
Vaseline,Complement,and,,,
the,Complement,on,,,
front,Complement,the,,,
towel,Complement,a,,,
a,Complement,and,,,
washcloth,Complement,a,,,
the,Complement,in,,,
bathroom,Complement,the,,,
water,Complement,the,,,
get,Complement,and,,,
the,Complement,in,,,
tub,Complement,the,,,
wash,Complement,and,,,
get,Complement,and,,,
dry,Complement,and,,,
get,Complement,and,,,
clothes,Complement,your,,,
on,Complement,get,,,
it,Complement,on,,,
chicken,Complement,the,,,
put,Complement,do,,,
gonna,Complement,'m,,,
get,Complement,gonna,,,
here,Complement,out_of,,,
the,Complement,in,,,
bottom,Complement,the,,,
the,Complement,all,,,
animals,Complement,the,,,
the,Complement,on,,,
fence,Complement,the,,,
monkey,Complement,the,,,
scared,Complement,and,,,
hens,Complement,the,,,
him,Complement,of,,,
dog,Complement,the,,,
went,Complement,and,,,
dog,Complement,the,,,
got,Complement,and,,,
lady,Complement,the,,,
lady,Complement,the,,,
called,Complement,and,,,
zoo,Complement,the,,,
came,Complement,and,,,
picked,Complement,and,,,
monkey,Complement,the,,,
chickens,Complement,the,,,
came,Complement,and,,,
was,Complement,and,,,
end,Complement,the,,,
take,Complement,let,,,
look,Complement,a,,,
